seed,generation,evaluations,search_wall_seconds,generation_search_seconds,gpu_evaluation_seconds,archive_seconds,offspring_seconds,benchmark_wall_seconds,best_distance_m,median_elite_distance_m,qd_score,archive_cells,archive_coverage,archive_unique_topologies,archive_topology_entropy_bits,archive_triangle_like_count,archive_triangle_like_fraction,archive_node_counts_json,archive_muscle_counts_json,innovation_reserve_count,innovation_reserve_morphology_json,population_unique_topologies,population_topology_entropy_bits,population_triangle_like_count,population_triangle_like_fraction,population_node_counts_json,population_muscle_counts_json,emitter_statistics_json,topology_change_candidates_json,archived_innovations_this_generation,innovation_survival_3gen_fraction,new_all_time_record,evaluations_since_previous_record
41,0,1000,0.0076009680000000005,0.0076009680000000005,0.0066179,0.000103294,0.000879774,0.00866952,0.94497,0.14331843,2.7502819430083036,11,0.057291668,7,2.4040097573248604,5,0.45454545454545453,"{""3"":5,""4"":2,""5"":4}","{""3"":5,""5"":2,""6"":2,""7"":2}",0,"{""count"":0,""unique_topologies"":0,""topology_entropy_bits"":0.0,""effective_topology_count"":1.0,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":0.0,""mean_muscles"":0.0,""node_counts"":{},""muscle_counts"":{}}",27,3.057273067601598,309,0.309,"{""3"":309,""4"":346,""5"":345}","{""3"":309,""4"":232,""5"":264,""6"":136,""7"":52,""8"":6,""9"":1}","{""Initial population"":{""attempts"":1000,""discoveries"":11,""improvements"":20,""insertions"":31,""insertion_rate"":0.031}}",{},0,0.0,true,1000
41,1,2000,0.015336099,0.007735131,0.006563285,0.000428608,0.000743238,0.017804453,8.97238,0.15432473,43.87272844091058,64,0.33333334,6,1.4182102933016414,44,0.6875,"{""3"":44,""4"":17,""5"":3}","{""3"":44,""4"":1,""5"":16,""6"":3}",26,"{""count"":26,""unique_topologies"":26,""topology_entropy_bits"":4.70043971814109,""effective_topology_count"":25.99999999999996,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":5.1923076923076925,""mean_muscles"":6.538461538461538,""node_counts"":{""4"":5,""5"":11,""6"":10},""muscle_counts"":{""4"":3,""5"":2,""6"":7,""7"":7,""8"":6,""9"":1}}",35,2.676938995748288,549,0.549,"{""3"":549,""4"":280,""5"":150,""6"":21}","{""3"":549,""4"":118,""5"":170,""6"":126,""7"":19,""8"":15,""9"":3}","{""Diagonal CMA-ES"":{""attempts"":342,""discoveries"":49,""improvements"":34,""insertions"":83,""insertion_rate"":0.24269005847953215},""Immigrant"":{""attempts"":50,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":336,""discoveries"":17,""improvements"":32,""insertions"":49,""insertion_rate"":0.14583333333333334},""Novelty"":{""attempts"":272,""discoveries"":15,""improvements"":12,""insertions"":27,""insertion_rate"":0.09926470588235294}}","{""Morphology"":225,""Novelty"":41}",27,0.0,true,1000
41,2,3000,0.023838212,0.008502113,0.006950338,0.000782417,0.000769358,0.027728928,16.013752,0.5771485,210.03063447214663,122,0.6354167,16,2.2956589082735115,74,0.6065573770491803,"{""3"":74,""4"":35,""5"":12,""6"":1}","{""3"":74,""4"":7,""5"":28,""6"":6,""7"":3,""8"":4}",45,"{""count"":45,""unique_topologies"":45,""topology_entropy_bits"":5.491853096329673,""effective_topology_count"":44.99999999999994,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":5.6,""mean_muscles"":7.111111111111111,""node_counts"":{""4"":6,""5"":14,""6"":17,""7"":8},""muscle_counts"":{""10"":1,""4"":3,""5"":4,""6"":9,""7"":10,""8"":8,""9"":10}}",54,2.9910114120576705,517,0.517,"{""3"":517,""4"":346,""5"":115,""6"":14,""7"":8}","{""10"":1,""3"":517,""4"":141,""5"":227,""6"":63,""7"":25,""8"":17,""9"":9}","{""Diagonal CMA-ES"":{""attempts"":312,""discoveries"":31,""improvements"":41,""insertions"":72,""insertion_rate"":0.23076923076923078},""Immigrant"":{""attempts"":148,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":299,""discoveries"":33,""improvements"":36,""insertions"":69,""insertion_rate"":0.23076923076923078},""Novelty"":{""attempts"":241,""discoveries"":16,""improvements"":25,""insertions"":41,""insertion_rate"":0.17012448132780084}}","{""Morphology"":215,""Novelty"":36}",21,0.0,true,1000
41,3,4000,0.033407691,0.009569479,0.008147117,0.000616199,0.000806163,0.038547425,33.632538,0.9230962,352.4035356119275,143,0.7447917,16,2.5471840178132803,78,0.5454545454545454,"{""3"":78,""4"":49,""5"":15,""6"":1}","{""3"":78,""4"":11,""5"":38,""6"":6,""7"":3,""8"":7}",64,"{""count"":64,""unique_topologies"":64,""topology_entropy_bits"":6.0,""effective_topology_count"":64.0,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":5.875,""mean_muscles"":7.859375,""node_counts"":{""4"":5,""5"":19,""6"":24,""7"":11,""8"":5},""muscle_counts"":{""10"":4,""11"":3,""12"":2,""13"":1,""4"":2,""5"":4,""6"":11,""7"":12,""8"":10,""9"":15}}",75,3.1714349418247956,517,0.517,"{""3"":517,""4"":320,""5"":115,""6"":29,""7"":12,""8"":7}","{""10"":6,""11"":6,""12"":3,""13"":1,""3"":517,""4"":121,""5"":219,""6"":49,""7"":29,""8"":34,""9"":15}","{""Diagonal CMA-ES"":{""attempts"":317,""discoveries"":8,""improvements"":19,""insertions"":27,""insertion_rate"":0.08517350157728706},""Immigrant"":{""attempts"":150,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":294,""discoveries"":24,""improvements"":24,""insertions"":48,""insertion_rate"":0.16326530612244897},""Novelty"":{""attempts"":239,""discoveries"":9,""improvements"":15,""insertions"":24,""insertion_rate"":0.100418410041841}}","{""Morphology"":192,""Novelty"":34}",20,0.0,true,1000
41,4,5000,0.052793602,0.019385911,0.017593117,0.000894022,0.000898772,0.059489859,33.903343,1.5471989,440.95981355011463,151,0.7864583,17,2.652099680970004,78,0.5165562913907285,"{""3"":78,""4"":58,""5"":14,""6"":1}","{""3"":78,""4"":16,""5"":43,""6"":4,""7"":3,""8"":7}",64,"{""count"":64,""unique_topologies"":64,""topology_entropy_bits"":6.0,""effective_topology_count"":64.0,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":5.875,""mean_muscles"":7.859375,""node_counts"":{""4"":5,""5"":19,""6"":24,""7"":11,""8"":5},""muscle_counts"":{""10"":4,""11"":3,""12"":2,""13"":1,""4"":2,""5"":4,""6"":11,""7"":12,""8"":10,""9"":15}}",71,3.2998594135301227,444,0.444,"{""3"":444,""4"":413,""5"":112,""6"":17,""7"":3,""8"":8,""9"":3}","{""10"":3,""11"":6,""12"":3,""13"":2,""14"":1,""15"":1,""3"":444,""4"":174,""5"":262,""6"":41,""7"":22,""8"":35,""9"":6}","{""Diagonal CMA-ES"":{""attempts"":299,""discoveries"":4,""improvements"":12,""insertions"":16,""insertion_rate"":0.05351170568561873},""Immigrant"":{""attempts"":135,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":314,""discoveries"":2,""improvements"":32,""insertions"":34,""insertion_rate"":0.10828025477707007},""Novelty"":{""attempts"":252,""discoveries"":3,""improvements"":11,""insertions"":14,""insertion_rate"":0.05555555555555555}}","{""Morphology"":223,""Novelty"":24}",2,1.0,true,1000
41,5,6000,0.07283133,0.020037727999999998,0.018293613,0.000929641,0.000814474,0.081011686,33.903343,2.4205275,635.537611618638,156,0.8125,21,2.6540650140855155,83,0.532051282051282,"{""3"":83,""4"":59,""5"":12,""6"":2}","{""11"":1,""3"":83,""4"":23,""5"":39,""6"":5,""7"":2,""8"":3}",64,"{""count"":64,""unique_topologies"":64,""topology_entropy_bits"":6.0,""effective_topology_count"":64.0,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":5.875,""mean_muscles"":7.859375,""node_counts"":{""4"":5,""5"":19,""6"":24,""7"":11,""8"":5},""muscle_counts"":{""10"":4,""11"":3,""12"":2,""13"":1,""4"":2,""5"":4,""6"":11,""7"":12,""8"":10,""9"":15}}",97,3.755452432312051,411,0.411,"{""3"":411,""4"":382,""5"":154,""6"":34,""7"":11,""8"":5,""9"":3}","{""10"":6,""11"":8,""12"":4,""13"":2,""14"":1,""3"":411,""4"":181,""5"":244,""6"":57,""7"":32,""8"":41,""9"":13}","{""Diagonal CMA-ES"":{""attempts"":286,""discoveries"":2,""improvements"":13,""insertions"":15,""insertion_rate"":0.05244755244755245},""Immigrant"":{""attempts"":135,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":329,""discoveries"":1,""improvements"":41,""insertions"":42,""insertion_rate"":0.1276595744680851},""Novelty"":{""attempts"":250,""discoveries"":2,""improvements"":17,""insertions"":19,""insertion_rate"":0.076}}","{""Morphology"":231,""Novelty"":42}",3,1.0,false,1000
41,6,7000,0.091843247,0.019011917,0.01726899,0.000892834,0.000850093,0.101412721,33.903343,3.049083,793.3401987925172,157,0.8177083,19,2.6096380688506056,82,0.5222929936305732,"{""3"":82,""4"":60,""5"":13,""6"":2}","{""11"":1,""3"":82,""4"":24,""5"":39,""6"":7,""7"":2,""8"":2}",64,"{""count"":64,""unique_topologies"":64,""topology_entropy_bits"":6.0,""effective_topology_count"":64.0,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":5.875,""mean_muscles"":7.828125,""node_counts"":{""4"":5,""5"":19,""6"":24,""7"":11,""8"":5},""muscle_counts"":{""10"":4,""11"":3,""12"":2,""13"":1,""4"":2,""5"":5,""6"":11,""7"":11,""8"":10,""9"":15}}",82,3.443066567800087,442,0.442,"{""3"":442,""4"":386,""5"":135,""6"":16,""7"":15,""8"":3,""9"":3}","{""10"":4,""11"":7,""12"":5,""13"":2,""14"":1,""15"":1,""3"":442,""4"":212,""5"":226,""6"":53,""7"":26,""8"":12,""9"":9}","{""Diagonal CMA-ES"":{""attempts"":316,""discoveries"":0,""improvements"":15,""insertions"":15,""insertion_rate"":0.04746835443037975},""Immigrant"":{""attempts"":140,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":302,""discoveries"":2,""improvements"":27,""insertions"":29,""insertion_rate"":0.09602649006622517},""Novelty"":{""attempts"":242,""discoveries"":0,""improvements"":12,""insertions"":12,""insertion_rate"":0.049586776859504134}}","{""Morphology"":201,""Novelty"":25}",3,1.0,false,2000
41,7,8000,0.101596752,0.009753505,0.00815424,0.000744424,0.000854841,0.112523289,33.903343,3.638028,942.141567055136,158,0.8229167,21,2.8039122415136,78,0.4936708860759494,"{""3"":78,""4"":61,""5"":16,""6"":2,""7"":1}","{""10"":1,""11"":1,""3"":78,""4"":24,""5"":41,""6"":8,""7"":3,""8"":2}",64,"{""count"":64,""unique_topologies"":64,""topology_entropy_bits"":6.0,""effective_topology_count"":64.0,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":5.875,""mean_muscles"":7.828125,""node_counts"":{""4"":5,""5"":19,""6"":24,""7"":11,""8"":5},""muscle_counts"":{""10"":4,""11"":3,""12"":2,""13"":1,""4"":2,""5"":5,""6"":11,""7"":11,""8"":10,""9"":15}}",89,3.61393320978693,413,0.413,"{""3"":413,""4"":389,""5"":144,""6"":38,""7"":14,""8"":2}","{""10"":5,""11"":5,""12"":4,""3"":413,""4"":216,""5"":219,""6"":73,""7"":29,""8"":26,""9"":10}","{""Diagonal CMA-ES"":{""attempts"":311,""discoveries"":0,""improvements"":7,""insertions"":7,""insertion_rate"":0.022508038585209004},""Immigrant"":{""attempts"":145,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":312,""discoveries"":0,""improvements"":24,""insertions"":24,""insertion_rate"":0.07692307692307693},""Novelty"":{""attempts"":232,""discoveries"":1,""improvements"":8,""insertions"":9,""insertion_rate"":0.03879310344827586}}","{""Morphology"":203,""Novelty"":21}",1,1.0,false,3000
41,8,9000,0.112758372,0.011161619999999999,0.009391386,0.000980693,0.000789541,0.125155949,43.82711,4.1130867,1126.7311194986105,161,0.8385417,21,2.8652245156068226,80,0.4968944099378882,"{""3"":80,""4"":59,""5"":18,""6"":3,""7"":1}","{""10"":1,""3"":80,""4"":25,""5"":37,""6"":9,""7"":5,""8"":4}",64,"{""count"":64,""unique_topologies"":64,""topology_entropy_bits"":6.0,""effective_topology_count"":64.0,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":5.890625,""mean_muscles"":7.84375,""node_counts"":{""4"":5,""5"":18,""6"":25,""7"":11,""8"":5},""muscle_counts"":{""10"":4,""11"":3,""12"":2,""13"":1,""4"":2,""5"":4,""6"":12,""7"":11,""8"":10,""9"":15}}",89,3.837792329659027,380,0.38,"{""3"":380,""4"":390,""5"":168,""6"":38,""7"":17,""8"":7}","{""10"":10,""11"":9,""12"":1,""13"":3,""16"":1,""3"":380,""4"":184,""5"":263,""6"":75,""7"":29,""8"":37,""9"":8}","{""Diagonal CMA-ES"":{""attempts"":293,""discoveries"":2,""improvements"":7,""insertions"":9,""insertion_rate"":0.030716723549488054},""Immigrant"":{""attempts"":124,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":311,""discoveries"":3,""improvements"":25,""insertions"":28,""insertion_rate"":0.09003215434083602},""Novelty"":{""attempts"":272,""discoveries"":0,""improvements"":10,""insertions"":10,""insertion_rate"":0.03676470588235294}}","{""Morphology"":209,""Novelty"":25}",3,0.9863013698630136,true,4000
41,9,10000,0.129843333,0.017084961000000003,0.015414458,0.000834658,0.000835845,0.143590848,43.82711,4.940643,1373.5406265035272,163,0.8489583,22,2.9299959001491853,79,0.48466257668711654,"{""3"":79,""4"":60,""5"":19,""6"":4,""7"":1}","{""10"":1,""3"":79,""4"":27,""5"":37,""6"":8,""7"":6,""8"":5}",64,"{""count"":64,""unique_topologies"":64,""topology_entropy_bits"":6.0,""effective_topology_count"":64.0,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":5.96875,""mean_muscles"":7.9375,""node_counts"":{""4"":4,""5"":18,""6"":25,""7"":11,""8"":5,""9"":1},""muscle_counts"":{""10"":4,""11"":4,""12"":2,""13"":1,""4"":2,""5"":3,""6"":12,""7"":11,""8"":10,""9"":15}}",99,3.7519227076726045,431,0.431,"{""3"":431,""4"":353,""5"":134,""6"":50,""7"":23,""8"":7,""9"":2}","{""10"":8,""11"":6,""12"":6,""13"":2,""3"":431,""4"":162,""5"":233,""6"":62,""7"":40,""8"":38,""9"":12}","{""Diagonal CMA-ES"":{""attempts"":283,""discoveries"":2,""improvements"":7,""insertions"":9,""insertion_rate"":0.03180212014134275},""Immigrant"":{""attempts"":156,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":327,""discoveries"":1,""improvements"":31,""insertions"":32,""insertion_rate"":0.09785932721712538},""Novelty"":{""attempts"":234,""discoveries"":0,""improvements"":11,""insertions"":11,""insertion_rate"":0.04700854700854701}}","{""Morphology"":217,""Novelty"":22}",2,0.9868421052631579,false,1000
