seed,generation,evaluations,search_wall_seconds,generation_search_seconds,gpu_evaluation_seconds,archive_seconds,offspring_seconds,benchmark_wall_seconds,best_distance_m,median_elite_distance_m,qd_score,archive_cells,archive_coverage,archive_unique_topologies,archive_topology_entropy_bits,archive_triangle_like_count,archive_triangle_like_fraction,archive_node_counts_json,archive_muscle_counts_json,innovation_reserve_count,innovation_reserve_morphology_json,population_unique_topologies,population_topology_entropy_bits,population_triangle_like_count,population_triangle_like_fraction,population_node_counts_json,population_muscle_counts_json,emitter_statistics_json,topology_change_candidates_json,archived_innovations_this_generation,innovation_survival_3gen_fraction,new_all_time_record,evaluations_since_previous_record
40,0,1000,0.007813484,0.007813484,0.006934898,0.000084296,0.00079429,0.008912905,0.7991521,0.14568731,2.1595162823796272,10,0.052083332,3,1.3709505944546687,6,0.6,"{""3"":6,""4"":2,""5"":2}","{""3"":6,""5"":4}",0,"{""count"":0,""unique_topologies"":0,""topology_entropy_bits"":0.0,""effective_topology_count"":1.0,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":0.0,""mean_muscles"":0.0,""node_counts"":{},""muscle_counts"":{}}",29,3.0748735522744894,336,0.336,"{""3"":336,""4"":308,""5"":356}","{""3"":336,""4"":207,""5"":261,""6"":118,""7"":68,""8"":8,""9"":2}","{""Initial population"":{""attempts"":1000,""discoveries"":10,""improvements"":15,""insertions"":25,""insertion_rate"":0.025}}",{},0,0.0,true,1000
40,1,2000,0.015547419,0.007733935,0.00663689,0.000338374,0.000758671,0.018142813,16.489658,0.25744125,66.86269285716116,75,0.390625,7,1.3054723484620998,56,0.7466666666666667,"{""3"":56,""4"":11,""5"":7,""6"":1}","{""3"":56,""5"":17,""7"":1,""8"":1}",21,"{""count"":21,""unique_topologies"":21,""topology_entropy_bits"":4.39231742277876,""effective_topology_count"":20.999999999999993,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":5.285714285714286,""mean_muscles"":6.0476190476190474,""node_counts"":{""4"":4,""5"":7,""6"":10},""muscle_counts"":{""4"":3,""5"":1,""6"":10,""7"":6,""8"":1}}",31,2.9725261376905014,429,0.429,"{""3"":429,""4"":284,""5"":243,""6"":44}","{""3"":429,""4"":91,""5"":360,""6"":61,""7"":44,""8"":15}","{""Diagonal CMA-ES"":{""attempts"":329,""discoveries"":63,""improvements"":31,""insertions"":94,""insertion_rate"":0.2857142857142857},""Immigrant"":{""attempts"":32,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":361,""discoveries"":18,""improvements"":38,""insertions"":56,""insertion_rate"":0.15512465373961218},""Novelty"":{""attempts"":278,""discoveries"":7,""improvements"":10,""insertions"":17,""insertion_rate"":0.06115107913669065}}","{""Morphology"":243,""Novelty"":36}",23,0.0,true,1000
40,2,3000,0.024834317,0.009286898,0.007958333,0.000573456,0.000755109,0.028768962,47.58119,0.7708501,324.92853297805414,116,0.6041667,11,1.8964775311177506,78,0.6724137931034483,"{""3"":78,""4"":28,""5"":8,""6"":2}","{""3"":78,""4"":8,""5"":25,""7"":3,""8"":2}",51,"{""count"":51,""unique_topologies"":51,""topology_entropy_bits"":5.6724253419715005,""effective_topology_count"":51.00000000000017,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":5.921568627450981,""mean_muscles"":7.2745098039215685,""node_counts"":{""4"":3,""5"":13,""6"":20,""7"":15},""muscle_counts"":{""11"":2,""4"":1,""5"":2,""6"":13,""7"":15,""8"":10,""9"":8}}",63,2.8763016545332514,548,0.548,"{""3"":548,""4"":295,""5"":115,""6"":27,""7"":15}","{""11"":2,""3"":548,""4"":120,""5"":224,""6"":45,""7"":30,""8"":22,""9"":9}","{""Diagonal CMA-ES"":{""attempts"":298,""discoveries"":18,""improvements"":29,""insertions"":47,""insertion_rate"":0.15771812080536912},""Immigrant"":{""attempts"":136,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":300,""discoveries"":47,""improvements"":24,""insertions"":71,""insertion_rate"":0.23666666666666666},""Novelty"":{""attempts"":266,""discoveries"":10,""improvements"":25,""insertions"":35,""insertion_rate"":0.13157894736842105}}","{""Morphology"":198,""Novelty"":28}",32,0.0,true,1000
40,3,4000,0.035826147,0.010991830000000001,0.009615774,0.000591265,0.000784791,0.041070363,47.58119,1.4470115,510.0687036770396,134,0.6979167,12,2.0669601954752155,84,0.6268656716417911,"{""3"":84,""4"":40,""5"":8,""6"":2}","{""3"":84,""4"":9,""5"":36,""7"":3,""8"":2}",64,"{""count"":64,""unique_topologies"":64,""topology_entropy_bits"":6.0,""effective_topology_count"":64.0,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":6.171875,""mean_muscles"":7.6875,""node_counts"":{""4"":2,""5"":15,""6"":23,""7"":18,""8"":6},""muscle_counts"":{""10"":5,""11"":4,""4"":1,""5"":2,""6"":14,""7"":15,""8"":12,""9"":11}}",72,2.9672832200163994,525,0.525,"{""3"":525,""4"":351,""5"":87,""6"":14,""7"":13,""8"":10}","{""10"":8,""11"":5,""12"":1,""16"":1,""3"":525,""4"":175,""5"":196,""6"":37,""7"":28,""8"":15,""9"":9}","{""Diagonal CMA-ES"":{""attempts"":303,""discoveries"":5,""improvements"":16,""insertions"":21,""insertion_rate"":0.06930693069306931},""Immigrant"":{""attempts"":138,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":291,""discoveries"":18,""improvements"":31,""insertions"":49,""insertion_rate"":0.16838487972508592},""Novelty"":{""attempts"":268,""discoveries"":10,""improvements"":26,""insertions"":36,""insertion_rate"":0.13432835820895522}}","{""Morphology"":197,""Novelty"":34}",15,0.0,false,1000
40,4,5000,0.055993272000000004,0.020167125,0.018358899,0.000974756,0.00083347,0.062951919,47.58119,3.0287378,651.8594247959554,138,0.71875,14,2.1624776040718663,85,0.6159420289855072,"{""3"":85,""4"":44,""5"":6,""6"":3}","{""3"":85,""4"":13,""5"":34,""6"":2,""7"":3,""8"":1}",64,"{""count"":64,""unique_topologies"":64,""topology_entropy_bits"":6.0,""effective_topology_count"":64.0,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":6.25,""mean_muscles"":7.84375,""node_counts"":{""4"":1,""5"":15,""6"":23,""7"":18,""8"":6,""9"":1},""muscle_counts"":{""10"":5,""11"":4,""14"":1,""5"":2,""6"":14,""7"":15,""8"":12,""9"":11}}",81,3.322676984258888,442,0.442,"{""3"":442,""4"":400,""5"":119,""6"":14,""7"":8,""8"":11,""9"":6}","{""10"":6,""11"":5,""12"":3,""13"":3,""14"":1,""3"":442,""4"":154,""5"":278,""6"":50,""7"":22,""8"":28,""9"":8}","{""Diagonal CMA-ES"":{""attempts"":300,""discoveries"":0,""improvements"":13,""insertions"":13,""insertion_rate"":0.043333333333333335},""Immigrant"":{""attempts"":117,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":329,""discoveries"":3,""improvements"":24,""insertions"":27,""insertion_rate"":0.08206686930091185},""Novelty"":{""attempts"":254,""discoveries"":2,""improvements"":17,""insertions"":19,""insertion_rate"":0.07480314960629922}}","{""Morphology"":224,""Novelty"":29}",3,1.0,false,2000
40,5,6000,0.078462531,0.022469259,0.020881867,0.000732551,0.000854841,0.086931397,47.58119,4.2593746,880.269046228379,145,0.7552083,18,2.489632986726699,80,0.5517241379310345,"{""3"":80,""4"":52,""5"":11,""6"":2}","{""3"":80,""4"":19,""5"":35,""6"":5,""7"":3,""8"":3}",64,"{""count"":64,""unique_topologies"":64,""topology_entropy_bits"":6.0,""effective_topology_count"":64.0,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":6.25,""mean_muscles"":7.84375,""node_counts"":{""4"":1,""5"":15,""6"":23,""7"":18,""8"":6,""9"":1},""muscle_counts"":{""10"":5,""11"":4,""14"":1,""5"":2,""6"":14,""7"":15,""8"":12,""9"":11}}",86,3.498743543357732,419,0.419,"{""10"":2,""3"":419,""4"":392,""5"":131,""6"":32,""7"":10,""8"":10,""9"":4}","{""10"":6,""11"":4,""12"":3,""13"":1,""14"":1,""16"":1,""17"":1,""3"":419,""4"":184,""5"":250,""6"":71,""7"":23,""8"":25,""9"":11}","{""Diagonal CMA-ES"":{""attempts"":288,""discoveries"":2,""improvements"":12,""insertions"":14,""insertion_rate"":0.04861111111111111},""Immigrant"":{""attempts"":150,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":310,""discoveries"":3,""improvements"":35,""insertions"":38,""insertion_rate"":0.12258064516129032},""Novelty"":{""attempts"":252,""discoveries"":2,""improvements"":15,""insertions"":17,""insertion_rate"":0.06746031746031746}}","{""Morphology"":207,""Novelty"":18}",3,1.0,false,3000
40,6,7000,0.096853485,0.018390954,0.01658629,0.000916579,0.000888085,0.106730465,47.58119,4.48938,984.6320597939193,154,0.8020833,19,2.665182716518597,79,0.512987012987013,"{""3"":79,""4"":58,""5"":14,""6"":3}","{""3"":79,""4"":26,""5"":34,""6"":6,""7"":3,""8"":6}",64,"{""count"":64,""unique_topologies"":64,""topology_entropy_bits"":6.0,""effective_topology_count"":64.0,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":6.265625,""mean_muscles"":7.828125,""node_counts"":{""4"":1,""5"":14,""6"":24,""7"":18,""8"":6,""9"":1},""muscle_counts"":{""10"":5,""11"":4,""14"":1,""5"":2,""6"":14,""7"":16,""8"":11,""9"":11}}",89,3.6238983181780227,414,0.414,"{""3"":414,""4"":377,""5"":158,""6"":31,""7"":11,""8"":5,""9"":4}","{""10"":3,""11"":7,""12"":2,""13"":1,""15"":1,""3"":414,""4"":180,""5"":233,""6"":80,""7"":40,""8"":27,""9"":12}","{""Diagonal CMA-ES"":{""attempts"":286,""discoveries"":2,""improvements"":5,""insertions"":7,""insertion_rate"":0.024475524475524476},""Immigrant"":{""attempts"":144,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":315,""discoveries"":3,""improvements"":26,""insertions"":29,""insertion_rate"":0.09206349206349207},""Novelty"":{""attempts"":255,""discoveries"":5,""improvements"":12,""insertions"":17,""insertion_rate"":0.06666666666666667}}","{""Morphology"":196,""Novelty"":33}",3,1.0,false,4000
40,7,8000,0.117837458,0.020983973000000003,0.019057019,0.001012749,0.000914205,0.129653265,47.58119,4.9528947,1104.4832691252232,157,0.8177083,19,2.8030603570778827,74,0.4713375796178344,"{""3"":74,""4"":63,""5"":15,""6"":5}","{""3"":74,""4"":28,""5"":37,""6"":6,""7"":4,""8"":8}",64,"{""count"":64,""unique_topologies"":64,""topology_entropy_bits"":6.0,""effective_topology_count"":64.0,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":6.265625,""mean_muscles"":7.828125,""node_counts"":{""4"":1,""5"":14,""6"":24,""7"":18,""8"":6,""9"":1},""muscle_counts"":{""10"":5,""11"":4,""14"":1,""5"":2,""6"":14,""7"":16,""8"":11,""9"":11}}",94,3.8052349144162765,389,0.389,"{""10"":2,""3"":389,""4"":381,""5"":167,""6"":39,""7"":12,""8"":9,""9"":1}","{""10"":4,""11"":7,""17"":2,""3"":389,""4"":192,""5"":226,""6"":76,""7"":39,""8"":50,""9"":15}","{""Diagonal CMA-ES"":{""attempts"":292,""discoveries"":2,""improvements"":5,""insertions"":7,""insertion_rate"":0.023972602739726026},""Immigrant"":{""attempts"":127,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":330,""discoveries"":1,""improvements"":24,""insertions"":25,""insertion_rate"":0.07575757575757576},""Novelty"":{""attempts"":251,""discoveries"":0,""improvements"":6,""insertions"":6,""insertion_rate"":0.02390438247011952}}","{""Morphology"":224,""Novelty"":31}",2,1.0,false,5000
40,8,9000,0.1371818,0.019344341999999997,0.01717162,0.001034121,0.001138601,0.150902001,47.58119,5.506839,1222.1685285530984,159,0.828125,21,2.9715442131565046,69,0.4339622641509434,"{""3"":69,""4"":66,""5"":17,""6"":7}","{""3"":69,""4"":28,""5"":40,""6"":7,""7"":5,""8"":9,""9"":1}",64,"{""count"":64,""unique_topologies"":64,""topology_entropy_bits"":6.0,""effective_topology_count"":64.0,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":6.265625,""mean_muscles"":7.828125,""node_counts"":{""4"":1,""5"":14,""6"":24,""7"":18,""8"":6,""9"":1},""muscle_counts"":{""10"":5,""11"":4,""14"":1,""5"":2,""6"":14,""7"":16,""8"":11,""9"":11}}",94,3.9532678060349546,334,0.334,"{""3"":334,""4"":419,""5"":172,""6"":57,""7"":11,""8"":4,""9"":3}","{""10"":4,""11"":9,""12"":3,""13"":1,""3"":334,""4"":202,""5"":251,""6"":85,""7"":39,""8"":62,""9"":10}","{""Diagonal CMA-ES"":{""attempts"":301,""discoveries"":1,""improvements"":2,""insertions"":3,""insertion_rate"":0.009966777408637873},""Immigrant"":{""attempts"":132,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":299,""discoveries"":1,""improvements"":33,""insertions"":34,""insertion_rate"":0.11371237458193979},""Novelty"":{""attempts"":268,""discoveries"":0,""improvements"":9,""insertions"":9,""insertion_rate"":0.033582089552238806}}","{""Morphology"":199,""Novelty"":38}",2,0.9868421052631579,false,6000
40,9,10000,0.155334113,0.018152313,0.016256227,0.000936764,0.000959322,0.170563345,47.58119,6.4191537,1417.3081563673913,160,0.8333333,21,3.081851396053963,61,0.38125,"{""3"":61,""4"":72,""5"":21,""6"":6}","{""11"":1,""3"":61,""4"":26,""5"":48,""6"":7,""7"":5,""8"":11,""9"":1}",64,"{""count"":64,""unique_topologies"":64,""topology_entropy_bits"":6.0,""effective_topology_count"":64.0,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":6.265625,""mean_muscles"":7.828125,""node_counts"":{""4"":1,""5"":14,""6"":24,""7"":18,""8"":6,""9"":1},""muscle_counts"":{""10"":5,""11"":4,""14"":1,""5"":2,""6"":14,""7"":16,""8"":11,""9"":11}}",100,3.9989866485959555,318,0.318,"{""3"":318,""4"":418,""5"":199,""6"":39,""7"":13,""8"":11,""9"":2}","{""10"":6,""11"":10,""12"":4,""13"":2,""3"":318,""4"":164,""5"":291,""6"":78,""7"":41,""8"":69,""9"":17}","{""Diagonal CMA-ES"":{""attempts"":283,""discoveries"":0,""improvements"":4,""insertions"":4,""insertion_rate"":0.014134275618374558},""Immigrant"":{""attempts"":150,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":318,""discoveries"":0,""improvements"":30,""insertions"":30,""insertion_rate"":0.09433962264150944},""Novelty"":{""attempts"":249,""discoveries"":1,""improvements"":6,""insertions"":7,""insertion_rate"":0.028112449799196786}}","{""Morphology"":202,""Novelty"":27}",2,0.9873417721518988,false,7000
