seed,generation,evaluations,search_wall_seconds,generation_search_seconds,gpu_evaluation_seconds,archive_seconds,offspring_seconds,benchmark_wall_seconds,best_distance_m,median_elite_distance_m,qd_score,archive_cells,archive_coverage,archive_unique_topologies,archive_topology_entropy_bits,archive_triangle_like_count,archive_triangle_like_fraction,archive_node_counts_json,archive_muscle_counts_json,population_unique_topologies,population_topology_entropy_bits,population_triangle_like_count,population_triangle_like_fraction,population_node_counts_json,population_muscle_counts_json,emitter_statistics_json,topology_change_candidates_json,archived_innovations_this_generation,innovation_survival_3gen_fraction,new_all_time_record,evaluations_since_previous_record
42,0,1000,0.011831471,0.011831471,0.008248191,0.000233899,0.003349381,0.01544918,0.5532812,0.048993308,1.898449869826436,10,0.052083332,8,2.8464393446710154,3,0.3,"{""3"":3,""4"":3,""5"":4}","{""3"":3,""4"":1,""5"":2,""6"":1,""7"":1,""8"":2}",29,3.053718589686181,322,0.322,"{""3"":322,""4"":311,""5"":367}","{""3"":322,""4"":208,""5"":259,""6"":165,""7"":37,""8"":9}","{""Initial population"":{""attempts"":1000,""discoveries"":10,""improvements"":14,""insertions"":24,""insertion_rate"":0.024}}",{},0,0.0,true,1000
42,1,2000,0.024579537999999998,0.012748067,0.008669683,0.001016331,0.003062053,0.032618763,2.6365585,0.13422477,33.08854085300118,71,0.36979166,8,2.205023570178933,27,0.38028169014084506,"{""3"":27,""4"":27,""5"":15,""6"":2}","{""10"":1,""12"":1,""3"":27,""4"":23,""5"":4,""7"":7,""8"":8}",49,3.329764671134202,362,0.362,"{""3"":362,""4"":319,""5"":281,""6"":38}","{""10"":3,""11"":1,""12"":4,""3"":362,""4"":235,""5"":136,""6"":156,""7"":41,""8"":51,""9"":11}","{""Diagonal CMA-ES"":{""attempts"":339,""discoveries"":58,""improvements"":32,""insertions"":90,""insertion_rate"":0.26548672566371684},""Immigrant"":{""attempts"":53,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":340,""discoveries"":2,""improvements"":9,""insertions"":11,""insertion_rate"":0.03235294117647059},""Novelty"":{""attempts"":268,""discoveries"":1,""improvements"":5,""insertions"":6,""insertion_rate"":0.022388059701492536}}","{""Morphology"":231,""Novelty"":23}",4,0.0,true,1000
42,2,3000,0.040473958,0.01589442,0.010133628,0.001763145,0.003997647,0.053669637,19.847187,0.68561834,232.87003165390342,122,0.6354167,15,2.607603604124758,48,0.39344262295081966,"{""3"":48,""4"":47,""5"":23,""6"":4}","{""10"":1,""12"":3,""3"":48,""4"":38,""5"":11,""6"":2,""7"":6,""8"":13}",39,3.077811809763125,380,0.38,"{""3"":380,""4"":360,""5"":226,""6"":34}","{""10"":6,""11"":4,""12"":7,""3"":380,""4"":288,""5"":134,""6"":52,""7"":45,""8"":69,""9"":15}","{""Diagonal CMA-ES"":{""attempts"":340,""discoveries"":23,""improvements"":33,""insertions"":56,""insertion_rate"":0.16470588235294117},""Immigrant"":{""attempts"":141,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":267,""discoveries"":10,""improvements"":15,""insertions"":25,""insertion_rate"":0.09363295880149813},""Novelty"":{""attempts"":252,""discoveries"":18,""improvements"":19,""insertions"":37,""insertion_rate"":0.14682539682539683}}","{""Morphology"":161,""Novelty"":24}",8,0.0,true,1000
42,3,4000,0.058317927,0.017843969,0.012459553,0.001988731,0.003395685,0.076930081,23.824186,1.0024188,361.3170874360949,145,0.7552083,20,3.0331086341488267,54,0.3724137931034483,"{""3"":54,""4"":49,""5"":33,""6"":8,""7"":1}","{""10"":2,""12"":3,""17"":1,""3"":54,""4"":36,""5"":17,""6"":6,""7"":9,""8"":17}",66,3.7756187705120197,308,0.308,"{""3"":308,""4"":375,""5"":258,""6"":56,""7"":3}","{""10"":7,""11"":4,""12"":10,""13"":1,""17"":2,""3"":308,""4"":251,""5"":182,""6"":78,""7"":67,""8"":76,""9"":14}","{""Diagonal CMA-ES"":{""attempts"":310,""discoveries"":9,""improvements"":15,""insertions"":24,""insertion_rate"":0.07741935483870968},""Immigrant"":{""attempts"":144,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":301,""discoveries"":8,""improvements"":19,""insertions"":27,""insertion_rate"":0.08970099667774087},""Novelty"":{""attempts"":245,""discoveries"":6,""improvements"":14,""insertions"":20,""insertion_rate"":0.08163265306122448}}","{""Morphology"":203,""Novelty"":23}",5,0.0,true,1000
42,4,5000,0.080937229,0.022619302,0.016447703,0.002329488,0.003842111,0.104192923,36.200157,1.3790185,487.5283479746431,151,0.7864583,24,3.291789842207415,52,0.3443708609271523,"{""3"":52,""4"":48,""5"":39,""6"":11,""7"":1}","{""10"":2,""11"":1,""12"":1,""17"":1,""3"":52,""4"":33,""5"":20,""6"":7,""7"":11,""8"":21,""9"":2}",83,4.111811323817742,286,0.286,"{""3"":286,""4"":314,""5"":299,""6"":89,""7"":12}","{""10"":21,""11"":7,""12"":5,""13"":1,""15"":1,""17"":5,""3"":286,""4"":201,""5"":169,""6"":101,""7"":85,""8"":103,""9"":15}","{""Diagonal CMA-ES"":{""attempts"":295,""discoveries"":1,""improvements"":15,""insertions"":16,""insertion_rate"":0.05423728813559322},""Immigrant"":{""attempts"":158,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":301,""discoveries"":4,""improvements"":13,""insertions"":17,""insertion_rate"":0.05647840531561462},""Novelty"":{""attempts"":246,""discoveries"":1,""improvements"":14,""insertions"":15,""insertion_rate"":0.06097560975609756}}","{""Morphology"":184,""Novelty"":23}",5,0.75,true,1000
42,5,6000,0.101186674,0.020249445,0.014403167,0.002316427,0.003529851,0.130009629,36.200157,2.3476005,646.4117456525564,156,0.8125,30,3.598036629896677,55,0.3525641025641026,"{""3"":55,""4"":41,""5"":34,""6"":21,""7"":5}","{""10"":5,""11"":1,""12"":3,""17"":1,""3"":55,""4"":23,""5"":23,""6"":8,""7"":12,""8"":20,""9"":5}",95,4.279899768563722,299,0.299,"{""3"":299,""4"":307,""5"":260,""6"":116,""7"":18}","{""10"":25,""11"":17,""12"":13,""13"":1,""14"":1,""16"":2,""3"":299,""4"":181,""5"":183,""6"":96,""7"":70,""8"":89,""9"":23}","{""Diagonal CMA-ES"":{""attempts"":300,""discoveries"":2,""improvements"":11,""insertions"":13,""insertion_rate"":0.043333333333333335},""Immigrant"":{""attempts"":135,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":294,""discoveries"":2,""improvements"":25,""insertions"":27,""insertion_rate"":0.09183673469387756},""Novelty"":{""attempts"":271,""discoveries"":1,""improvements"":12,""insertions"":13,""insertion_rate"":0.04797047970479705}}","{""Morphology"":190,""Novelty"":41}",8,0.75,false,1000
42,6,7000,0.122016709,0.020830034999999997,0.014632316,0.002355608,0.003842111,0.156435422,51.652367,2.95155,832.5648917742074,162,0.84375,34,3.8260069245797834,56,0.345679012345679,"{""3"":56,""4"":38,""5"":31,""6"":27,""7"":9,""8"":1}","{""10"":9,""11"":1,""12"":5,""13"":1,""17"":1,""3"":56,""4"":21,""5"":21,""6"":11,""7"":12,""8"":17,""9"":7}",105,4.558311011632939,280,0.28,"{""3"":280,""4"":284,""5"":237,""6"":135,""7"":57,""8"":7}","{""10"":48,""11"":11,""12"":22,""13"":6,""15"":2,""16"":1,""17"":4,""3"":280,""4"":182,""5"":155,""6"":107,""7"":61,""8"":78,""9"":43}","{""Diagonal CMA-ES"":{""attempts"":287,""discoveries"":2,""improvements"":11,""insertions"":13,""insertion_rate"":0.04529616724738676},""Immigrant"":{""attempts"":144,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":322,""discoveries"":1,""improvements"":29,""insertions"":30,""insertion_rate"":0.09316770186335403},""Novelty"":{""attempts"":247,""discoveries"":3,""improvements"":15,""insertions"":18,""insertion_rate"":0.0728744939271255}}","{""Morphology"":198,""Novelty"":20}",4,0.8235294117647058,true,2000
42,7,8000,0.159476105,0.037459396,0.030028069,0.002502834,0.004928493,0.199720911,51.652367,3.781078,975.3287492245436,165,0.859375,36,3.979646050245073,58,0.3515151515151515,"{""3"":58,""4"":32,""5"":27,""6"":33,""7"":12,""8"":3}","{""10"":13,""11"":1,""12"":8,""13"":1,""15"":1,""3"":58,""4"":17,""5"":21,""6"":11,""7"":12,""8"":14,""9"":8}",117,4.632347242977139,292,0.292,"{""3"":292,""4"":260,""5"":199,""6"":136,""7"":77,""8"":29,""9"":7}","{""10"":58,""11"":7,""12"":48,""13"":24,""14"":3,""15"":3,""16"":1,""17"":2,""18"":3,""3"":292,""4"":143,""5"":158,""6"":89,""7"":64,""8"":65,""9"":40}","{""Diagonal CMA-ES"":{""attempts"":304,""discoveries"":2,""improvements"":7,""insertions"":9,""insertion_rate"":0.029605263157894735},""Immigrant"":{""attempts"":129,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":308,""discoveries"":0,""improvements"":26,""insertions"":26,""insertion_rate"":0.08441558441558442},""Novelty"":{""attempts"":259,""discoveries"":1,""improvements"":14,""insertions"":15,""insertion_rate"":0.05791505791505792}}","{""Morphology"":204,""Novelty"":30}",4,0.8181818181818182,false,1000
42,8,9000,0.19186809400000002,0.032391989,0.02519931,0.002766415,0.004426264,0.239820868,51.652367,4.48475,1062.9693417176604,167,0.8697917,41,4.102216545075673,57,0.3413173652694611,"{""3"":57,""4"":32,""5"":26,""6"":31,""7"":16,""8"":5}","{""10"":17,""11"":1,""12"":8,""13"":3,""15"":2,""3"":57,""4"":19,""5"":21,""6"":11,""7"":11,""8"":11,""9"":6}",111,4.676772709325184,277,0.277,"{""3"":277,""4"":265,""5"":165,""6"":149,""7"":105,""8"":35,""9"":4}","{""10"":102,""11"":23,""12"":46,""13"":14,""14"":2,""15"":13,""16"":2,""18"":1,""3"":277,""4"":131,""5"":214,""6"":52,""7"":65,""8"":41,""9"":17}","{""Diagonal CMA-ES"":{""attempts"":327,""discoveries"":1,""improvements"":6,""insertions"":7,""insertion_rate"":0.021406727828746176},""Immigrant"":{""attempts"":130,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":285,""discoveries"":0,""improvements"":16,""insertions"":16,""insertion_rate"":0.056140350877192984},""Novelty"":{""attempts"":258,""discoveries"":1,""improvements"":9,""insertions"":10,""insertion_rate"":0.03875968992248062}}","{""Morphology"":196,""Novelty"":39}",6,0.8666666666666667,false,2000
42,9,10000,0.22514462200000002,0.033276528,0.026216827,0.002590694,0.004469007,0.279917263,51.652367,4.951951,1169.6101964339614,167,0.8697917,44,4.159373675229713,58,0.3473053892215569,"{""3"":58,""4"":31,""5"":26,""6"":29,""7"":16,""8"":4,""9"":3}","{""10"":18,""11"":2,""12"":7,""13"":2,""14"":1,""15"":2,""17"":1,""18"":1,""3"":58,""4"":18,""5"":21,""6"":12,""7"":9,""8"":9,""9"":6}",124,4.6416290724575004,326,0.326,"{""3"":326,""4"":262,""5"":162,""6"":118,""7"":67,""8"":52,""9"":13}","{""10"":60,""11"":15,""12"":33,""13"":34,""14"":5,""15"":8,""16"":8,""17"":4,""18"":1,""3"":326,""4"":157,""5"":157,""6"":92,""7"":55,""8"":27,""9"":18}","{""Diagonal CMA-ES"":{""attempts"":279,""discoveries"":0,""improvements"":3,""insertions"":3,""insertion_rate"":0.010752688172043012},""Immigrant"":{""attempts"":155,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":309,""discoveries"":0,""improvements"":19,""insertions"":19,""insertion_rate"":0.061488673139158574},""Novelty"":{""attempts"":257,""discoveries"":0,""improvements"":9,""insertions"":9,""insertion_rate"":0.03501945525291829}}","{""Morphology"":216,""Novelty"":40}",5,0.8235294117647058,false,3000
