archive_rank,archive_m,replay_m,nodes,total_bone_length_m,longest_bone_m,mass_kg,slip_m,slip_per_replay_m
1,117.3,215.6,7,4.14,1.63,19.14,442.8,2.05
2,98.9,102.4,6,1.60,0.54,3.43,61.8,0.60
3,91.9,91.9,7,4.42,1.73,21.41,163.2,1.78
4,87.6,87.6,6,2.80,0.89,8.98,120.1,1.37
5,87.5,93.5,6,1.60,0.55,3.45,51.1,0.55
6,83.9,83.9,7,2.17,0.57,4.79,70.3,0.84
7,83.6,83.6,7,3.36,0.89,10.53,143.8,1.72
8,83.2,83.8,6,1.61,0.55,3.49,42.6,0.51
9,83.1,85.4,6,3.10,0.98,10.78,156.0,1.83
10,81.6,87.7,6,2.84,0.88,9.16,120.2,1.37
11,80.3,80.3,6,1.60,0.55,3.45,42.6,0.53
12,77.0,77.0,6,3.12,0.99,10.90,138.1,1.79
13,76.4,76.4,6,2.84,0.89,9.13,102.1,1.34
14,76.3,76.3,6,1.61,0.54,3.48,41.4,0.54
15,76.1,88.4,8,3.93,0.89,12.05,155.8,1.76
16,76.0,81.2,6,1.61,0.54,3.41,50.6,0.62
17,75.3,75.3,6,1.60,0.55,3.46,36.3,0.48
18,74.5,74.5,6,1.59,0.54,3.43,40.4,0.54
19,71.3,71.3,7,4.43,1.74,21.57,160.9,2.26
20,71.2,71.2,6,1.61,0.54,3.46,44.3,0.62
21,70.9,72.1,6,1.59,0.55,3.46,37.6,0.52
22,68.9,68.9,6,1.60,0.55,3.45,37.3,0.54
23,68.6,68.6,7,2.16,0.55,4.74,62.5,0.91
24,68.0,68.0,7,1.78,0.55,3.61,45.2,0.67
25,67.9,74.6,6,2.81,0.87,9.00,103.5,1.39
26,67.1,67.1,7,4.43,1.74,21.55,141.4,2.11
27,66.9,66.9,6,3.16,1.00,11.09,133.4,2.00
28,66.4,73.9,7,2.71,0.70,7.31,129.3,1.75
29,66.4,66.4,7,3.70,0.89,12.37,129.7,1.95
30,66.0,66.0,7,4.39,1.72,21.32,138.3,2.09
31,65.6,66.3,6,1.62,0.55,3.45,34.7,0.52
32,64.7,64.7,6,3.12,0.99,10.88,119.9,1.85
33,64.7,66.6,6,1.30,0.41,2.20,21.6,0.32
34,62.2,62.2,7,4.40,1.73,21.35,165.7,2.66
35,61.7,61.7,6,1.31,0.42,2.27,36.2,0.59
36,61.5,61.5,6,2.82,0.88,9.07,101.6,1.65
37,58.7,58.8,4,0.99,0.37,1.79,68.6,1.17
38,57.8,66.1,6,2.85,0.89,9.18,113.4,1.71
39,57.7,57.7,7,5.06,1.51,24.36,147.4,2.56
40,56.2,57.8,7,1.89,0.60,4.29,65.6,1.14
41,56.1,56.9,7,1.60,0.46,2.83,26.9,0.47
42,55.6,59.7,6,1.31,0.41,2.27,28.3,0.47
43,54.9,54.9,7,4.40,1.74,21.44,77.6,1.41
44,53.8,57.5,6,1.63,0.50,3.25,40.4,0.70
45,53.5,54.9,6,1.31,0.41,2.21,27.5,0.50
46,53.5,54.6,8,1.94,0.54,3.47,42.4,0.78
47,52.9,55.2,7,5.04,1.51,24.25,130.6,2.37
48,52.3,54.2,6,2.82,0.88,9.06,80.3,1.48
49,52.1,52.1,5,2.54,0.77,7.62,42.5,0.82
50,51.6,51.6,6,2.69,0.85,8.43,71.9,1.39
