generation,best_m,archive_median_m,archive_cells,qd_score,failed,evaluation_seconds
0,5.0122,0.1079,244,88.23,0,8.202
1,10.4525,0.2175,617,421.92,0,8.085
2,17.4174,0.4605,862,917.58,0,9.099
3,17.4174,0.5114,1037,1216.33,0,12.885
4,18.2256,0.7641,1140,1876.96,0,20.343
5,24.8236,1.0899,1196,2701.87,0,23.684
6,29.5771,1.4965,1241,3544.27,0,23.671
7,35.6656,2.0822,1275,4555.30,0,23.561
8,35.6656,2.6281,1288,5717.12,0,30.012
9,35.6656,3.3865,1304,6787.46,0,33.274
10,43.3500,4.1337,1310,7952.43,0,32.601
11,43.3500,5.0863,1324,9079.86,0,35.135
12,62.7691,5.8370,1330,10198.00,0,33.563
13,71.6487,6.6222,1337,11468.46,0,33.818
14,71.6487,7.6904,1339,12859.48,0,39.501
15,80.3371,8.7478,1345,14525.65,0,39.622
16,91.8681,9.4745,1347,16046.90,0,41.502
17,94.3064,10.0725,1350,17460.48,0,38.927
18,94.3064,10.8113,1351,19015.80,0,37.032
19,117.2584,11.6575,1353,20600.92,0,33.797
