seed,generation,evaluations,search_wall_seconds,generation_search_seconds,gpu_evaluation_seconds,archive_seconds,offspring_seconds,benchmark_wall_seconds,best_distance_m,median_elite_distance_m,qd_score,archive_cells,archive_coverage,archive_unique_topologies,archive_topology_entropy_bits,archive_triangle_like_count,archive_triangle_like_fraction,archive_node_counts_json,archive_muscle_counts_json,population_unique_topologies,population_topology_entropy_bits,population_triangle_like_count,population_triangle_like_fraction,population_node_counts_json,population_muscle_counts_json,emitter_statistics_json,topology_change_candidates_json,archived_innovations_this_generation,innovation_survival_3gen_fraction,new_all_time_record,evaluations_since_previous_record
38,0,1000,0.01429631,0.01429631,0.013054392,0.000062927,0.001178991,0.038231142,0.687931,0.261321,2.6422692760825157,10,0.052083332,6,2.4464393446710155,2,0.2,"{""3"":2,""4"":6,""5"":2}","{""3"":2,""4"":3,""5"":4,""8"":1}",26,2.9973854574120926,327,0.327,"{""3"":327,""4"":347,""5"":326}","{""3"":327,""4"":233,""5"":257,""6"":133,""7"":42,""8"":8}","{""Initial population"":{""attempts"":1000,""discoveries"":10,""improvements"":12,""insertions"":22,""insertion_rate"":0.022}}",{},0,0.0,true,1000
38,1,2000,0.026838975,0.012542665,0.011102466,0.000293264,0.001146935,0.052844462,3.2913342,0.27267346,45.408991599455476,83,0.43229166,8,2.1592428651258864,5,0.060240963855421686,"{""3"":5,""4"":37,""5"":40,""6"":1}","{""11"":1,""3"":5,""4"":8,""5"":29,""6"":1,""7"":2,""8"":37}",45,3.5855530465659617,208,0.208,"{""3"":208,""4"":303,""5"":402,""6"":87}","{""11"":31,""12"":9,""3"":208,""4"":84,""5"":245,""6"":59,""7"":25,""8"":292,""9"":47}","{""Diagonal CMA-ES"":{""attempts"":326,""discoveries"":64,""improvements"":41,""insertions"":105,""insertion_rate"":0.3220858895705521},""Immigrant"":{""attempts"":60,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":309,""discoveries"":3,""improvements"":14,""insertions"":17,""insertion_rate"":0.05501618122977346},""Novelty"":{""attempts"":305,""discoveries"":6,""improvements"":12,""insertions"":18,""insertion_rate"":0.05901639344262295}}","{""Morphology"":208,""Novelty"":31}",3,0.0,true,1000
38,2,3000,0.043921884,0.017082909,0.015424248,0.000508165,0.001150496,0.07222124,11.055391,0.5075366,159.7328573334962,127,0.6614583,16,2.637833975720946,7,0.05511811023622047,"{""3"":7,""4"":52,""5"":58,""6"":10}","{""11"":6,""12"":1,""3"":7,""4"":5,""5"":47,""6"":6,""7"":3,""8"":49,""9"":3}",52,3.8081595929255694,70,0.07,"{""3"":70,""4"":349,""5"":467,""6"":110,""7"":4}","{""11"":48,""12"":15,""15"":1,""3"":70,""4"":61,""5"":319,""6"":96,""7"":47,""8"":293,""9"":50}","{""Diagonal CMA-ES"":{""attempts"":296,""discoveries"":19,""improvements"":26,""insertions"":45,""insertion_rate"":0.15202702702702703},""Immigrant"":{""attempts"":134,""discoveries"":0,""improvements"":1,""insertions"":1,""insertion_rate"":0.007462686567164179},""Morphology"":{""attempts"":321,""discoveries"":13,""improvements"":15,""insertions"":28,""insertion_rate"":0.08722741433021806},""Novelty"":{""attempts"":249,""discoveries"":12,""improvements"":21,""insertions"":33,""insertion_rate"":0.13253012048192772}}","{""Morphology"":226,""Novelty"":34}",9,0.0,true,1000
38,3,4000,0.058860524,0.01493864,0.013249109,0.000539035,0.001150496,0.089529737,13.448901,0.6972958,229.87864753045142,147,0.765625,23,2.9540121911308184,4,0.027210884353741496,"{""3"":4,""4"":63,""5"":65,""6"":14,""7"":1}","{""11"":8,""12"":1,""16"":1,""3"":4,""4"":7,""5"":56,""6"":10,""7"":3,""8"":52,""9"":5}",70,4.060670935742899,63,0.063,"{""3"":63,""4"":354,""5"":413,""6"":153,""7"":17}","{""10"":4,""11"":62,""12"":16,""14"":2,""15"":2,""16"":3,""3"":63,""4"":51,""5"":329,""6"":102,""7"":47,""8"":246,""9"":73}","{""Diagonal CMA-ES"":{""attempts"":329,""discoveries"":10,""improvements"":19,""insertions"":29,""insertion_rate"":0.08814589665653495},""Immigrant"":{""attempts"":128,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":300,""discoveries"":4,""improvements"":17,""insertions"":21,""insertion_rate"":0.07},""Novelty"":{""attempts"":243,""discoveries"":6,""improvements"":13,""insertions"":19,""insertion_rate"":0.07818930041152264}}","{""Morphology"":208,""Novelty"":24}",7,0.0,true,1000
38,4,5000,0.078535314,0.019674789999999998,0.017987634,0.000617397,0.001069759,0.110829945,13.448901,1.0627196,315.3413689378649,155,0.8072917,24,2.9942802509283006,4,0.025806451612903226,"{""3"":4,""4"":68,""5"":63,""6"":18,""7"":2}","{""11"":11,""12"":1,""14"":1,""16"":1,""3"":4,""4"":6,""5"":62,""6"":10,""7"":2,""8"":51,""9"":6}",69,4.0491130094748895,73,0.073,"{""3"":73,""4"":368,""5"":416,""6"":119,""7"":24}","{""11"":56,""12"":19,""14"":4,""15"":1,""16"":10,""3"":73,""4"":83,""5"":307,""6"":103,""7"":39,""8"":259,""9"":46}","{""Diagonal CMA-ES"":{""attempts"":328,""discoveries"":6,""improvements"":15,""insertions"":21,""insertion_rate"":0.06402439024390244},""Immigrant"":{""attempts"":133,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":275,""discoveries"":0,""improvements"":14,""insertions"":14,""insertion_rate"":0.05090909090909091},""Novelty"":{""attempts"":264,""discoveries"":2,""improvements"":13,""insertions"":15,""insertion_rate"":0.056818181818181816}}","{""Morphology"":178,""Novelty"":21}",2,0.6666666666666666,false,1000
38,5,6000,0.096568065,0.018032751,0.016222115,0.000637581,0.001173055,0.130805123,16.17225,1.6904868,458.40545182395726,158,0.8229167,27,3.173234100045056,5,0.03164556962025317,"{""3"":5,""4"":70,""5"":68,""6"":13,""7"":2}","{""11"":9,""14"":1,""16"":1,""3"":5,""4"":4,""5"":67,""6"":14,""7"":4,""8"":49,""9"":4}",64,3.930580401763969,70,0.07,"{""3"":70,""4"":397,""5"":409,""6"":107,""7"":14,""8"":3}","{""11"":58,""12"":9,""14"":5,""15"":4,""16"":2,""17"":2,""3"":70,""4"":54,""5"":373,""6"":120,""7"":43,""8"":222,""9"":38}","{""Diagonal CMA-ES"":{""attempts"":300,""discoveries"":3,""improvements"":16,""insertions"":19,""insertion_rate"":0.06333333333333334},""Immigrant"":{""attempts"":153,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":271,""discoveries"":0,""improvements"":26,""insertions"":26,""insertion_rate"":0.0959409594095941},""Novelty"":{""attempts"":276,""discoveries"":0,""improvements"":24,""insertions"":24,""insertion_rate"":0.08695652173913043}}","{""Morphology"":173,""Novelty"":27}",6,0.6666666666666666,true,2000
38,6,7000,0.11452957799999999,0.017961513000000002,0.016317099,0.000624521,0.001019893,0.150370682,16.17225,2.1717086,566.5578746339306,162,0.84375,30,3.4079148657235,6,0.037037037037037035,"{""3"":6,""4"":68,""5"":68,""6"":16,""7"":4}","{""11"":9,""12"":1,""14"":2,""16"":1,""3"":6,""4"":4,""5"":65,""6"":17,""7"":6,""8"":45,""9"":6}",82,4.208846221811869,83,0.083,"{""3"":83,""4"":394,""5"":382,""6"":127,""7"":13,""8"":1}","{""11"":54,""12"":9,""14"":5,""15"":1,""16"":3,""17"":1,""3"":83,""4"":44,""5"":385,""6"":120,""7"":71,""8"":180,""9"":44}","{""Diagonal CMA-ES"":{""attempts"":301,""discoveries"":3,""improvements"":14,""insertions"":17,""insertion_rate"":0.05647840531561462},""Immigrant"":{""attempts"":134,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":297,""discoveries"":1,""improvements"":21,""insertions"":22,""insertion_rate"":0.07407407407407407},""Novelty"":{""attempts"":268,""discoveries"":0,""improvements"":10,""insertions"":10,""insertion_rate"":0.03731343283582089}}","{""Morphology"":191,""Novelty"":29}",4,0.7894736842105263,false,1000
38,7,8000,0.130057121,0.015527543,0.01379883,0.000630458,0.001098255,0.167604378,16.17225,2.592179,642.3704668125138,164,0.8541667,32,3.6091888906934,8,0.04878048780487805,"{""3"":8,""4"":60,""5"":73,""6"":19,""7"":4}","{""11"":9,""12"":1,""14"":2,""16"":1,""3"":8,""4"":4,""5"":58,""6"":20,""7"":6,""8"":47,""9"":8}",86,4.240657967191098,85,0.085,"{""3"":85,""4"":378,""5"":389,""6"":138,""7"":10}","{""10"":2,""11"":39,""12"":10,""14"":3,""16"":1,""3"":85,""4"":80,""5"":326,""6"":141,""7"":72,""8"":181,""9"":60}","{""Diagonal CMA-ES"":{""attempts"":302,""discoveries"":1,""improvements"":11,""insertions"":12,""insertion_rate"":0.039735099337748346},""Immigrant"":{""attempts"":143,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":300,""discoveries"":1,""improvements"":12,""insertions"":13,""insertion_rate"":0.043333333333333335},""Novelty"":{""attempts"":255,""discoveries"":0,""improvements"":11,""insertions"":11,""insertion_rate"":0.043137254901960784}}","{""Morphology"":216,""Novelty"":35}",2,0.8095238095238095,false,2000
38,8,9000,0.144467411,0.01441029,0.012686327,0.000657765,0.001066198,0.184309725,16.17225,3.4873204,752.7086031055078,166,0.8645833,31,3.447789351873815,8,0.04819277108433735,"{""3"":8,""4"":61,""5"":70,""6"":21,""7"":5,""8"":1}","{""11"":11,""12"":1,""13"":1,""14"":2,""15"":1,""16"":1,""3"":8,""4"":4,""5"":59,""6"":18,""7"":5,""8"":47,""9"":8}",71,4.244492556571672,87,0.087,"{""3"":87,""4"":310,""5"":413,""6"":175,""7"":12,""8"":3}","{""10"":2,""11"":71,""12"":12,""13"":1,""14"":6,""15"":4,""3"":87,""4"":47,""5"":286,""6"":131,""7"":67,""8"":211,""9"":75}","{""Diagonal CMA-ES"":{""attempts"":295,""discoveries"":1,""improvements"":10,""insertions"":11,""insertion_rate"":0.03728813559322034},""Immigrant"":{""attempts"":152,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":333,""discoveries"":1,""improvements"":30,""insertions"":31,""insertion_rate"":0.09309309309309309},""Novelty"":{""attempts"":220,""discoveries"":0,""improvements"":6,""insertions"":6,""insertion_rate"":0.02727272727272727}}","{""Morphology"":221,""Novelty"":31}",3,0.8148148148148148,false,3000
38,9,10000,0.16139715799999999,0.016929747000000002,0.015103676,0.000686261,0.00113981,0.202900509,21.194517,4.835102,829.1398035390303,167,0.8697917,31,3.3559055928580848,6,0.03592814371257485,"{""3"":6,""4"":58,""5"":74,""6"":24,""7"":4,""8"":1}","{""11"":13,""12"":1,""13"":1,""14"":1,""15"":1,""16"":1,""3"":6,""4"":2,""5"":58,""6"":20,""7"":5,""8"":49,""9"":9}",70,4.11931200297912,73,0.073,"{""3"":73,""4"":306,""5"":458,""6"":137,""7"":13,""8"":13}","{""10"":2,""11"":57,""12"":12,""13"":14,""14"":3,""15"":2,""16"":2,""3"":73,""4"":56,""5"":283,""6"":133,""7"":57,""8"":248,""9"":58}","{""Diagonal CMA-ES"":{""attempts"":318,""discoveries"":0,""improvements"":6,""insertions"":6,""insertion_rate"":0.018867924528301886},""Immigrant"":{""attempts"":142,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":306,""discoveries"":0,""improvements"":18,""insertions"":18,""insertion_rate"":0.058823529411764705},""Novelty"":{""attempts"":234,""discoveries"":1,""improvements"":5,""insertions"":6,""insertion_rate"":0.02564102564102564}}","{""Morphology"":209,""Novelty"":22}",2,0.8387096774193549,true,4000
